HW1  HW2  MID
98   92   81
97   93.5 80
93   91.5 81
91   97   78
97   95   70
89   82.5 77
94   91   69
91   90   71
94   83.5 72
86   87   74
83   90   74
70   88   77
85   83   70
92   84   66
95   66   72
94   79.5 63
95   79.5 61
74   85.5 68
87   69   69
90   69.5 67
78   91   62
86   87   59
91   86   56
84   69   67
75   81   65
85   64.5 67
91   87   52
67   65.5 73
92   60   60
92   73   52
79   83.5 52
56   77   66
91   83.5 45
81   78   50
89   74.5 45
87   43   61
88   59   49
72   76.5 45
93   46   46
77   58   47
34   59.5 66
84   37   47
86    0   43
12    0   38
